order_id,order_time,product_id,store_id,qty,selling_price_aed,discount_pct,payment_status,return_flag
39,2025-09-12 21:16:02,240,2,2,736.96,5.0,Refunded,0
40,2025-09-12 21:24:57,55,1,1,171.68,10.0,Failed,0
41,2025-09-12 21:27:09,272,14,2,181.1,5.0,Refunded,1
42,2025-09-12 21:36:04,25,3,2,353.52,20.0,Failed,1
43,2025-09-12 21:42:58,237,11,3,37.48,15.0,Refunded,0
44,2025-09-12 21:47:17,201,11,1,77.75,15.0,Refunded,1
45,2025-09-12 21:52:14,237,4,2,35.28,20.0,Paid,0
46,2025-09-12 21:55:18,176,14,4,387.11,5.0,Failed,1
47,2025-09-12 22:00:53,113,4,3,197.56,10.0,Paid,1
48,2025-09-12 22:03:00,161,14,4,399.5,10.0,Failed,0
49,2025-09-12 22:03:46,16,14,5,489.96,0.0,Failed,0
50,2025-09-12 22:17:05,222,3,2,305.67,0.0,Paid,0
51,2025-09-12 22:38:07,106,5,1,443.5,0.0,Paid,1
52,2025-09-12 22:51:01,32,11,3,598.23,10.0,Paid,1
53,2025-09-12 22:52:48,270,16,2,311.04,15.0,Refunded,1
54,2025-09-12 22:59:41,164,8,3,425.54,5.0,Failed,1
55,2025-09-12 23:02:59,9,17,2,200.28,20.0,Refunded,1
56,2025-09-12 23:26:04,185,2,3,156.44,5.0,Refunded,1
57,2025-09-12 23:27:37,199,10,2,619.34,10.0,Refunded,1
58,2025-09-12 23:34:21,235,9,1,158.64,15.0,Failed,1
59,2025-09-12 23:34:23,248,1,4,338.69,10.0,Failed,1
60,2025-09-12 23:37:25,240,10,3,775.75,0.0,Failed,1
61,2025-09-12 23:37:44,57,10,2,707.24,5.0,Paid,1
62,2025-09-12 23:42:21,169,12,2,685.81,0.0,Paid,1
63,2025-09-12 23:42:49,210,15,4,433.03,20.0,Refunded,1
64,2025-09-12 23:44:33,289,11,2,100.95,20.0,Failed,0
65,2025-09-12 23:47:13,278,6,1,632.3,10.0,Paid,0
66,2025-09-12 23:47:57,285,16,2,688.08,,Paid,1
67,2025-09-12 23:49:59,17,10,1,58.32,5.0,Paid,1
68,2025-09-12 23:56:03,1,14,3,305.89,0.0,Failed,0
69,2025-09-13 00:05:02,180,1,1,639.86,15.0,Failed,1
70,2025-09-13 00:13:26,42,9,2,257.84,5.0,Failed,0
71,2025-09-13 00:13:35,192,11,0,405.49,20.0,Refunded,1
72,2025-09-13 00:17:34,151,16,2,43.21,,Paid,0
73,2025-09-13 00:27:48,16,13,1,489.96,0.0,Refunded,0
74,2025-09-13 00:28:59,276,4,1,357.79,15.0,Refunded,1
75,2025-09-13 00:29:00,101,18,1,439.63,15.0,Refunded,1
76,2025-09-13 00:36:00,28,11,1,434.11,10.0,Refunded,1
77,2025-09-13 00:36:17,219,7,2,67.48,0.0,Refunded,0
78,2025-09-13 00:36:54,40,5,0,249.21,15.0,Failed,0
79,2025-09-13 00:40:56,240,4,3,736.96,5.0,Failed,0
80,2025-09-13 01:09:40,120,7,2,493.92,5.0,Failed,1
81,2025-09-13 01:32:22,31,15,2,317.06,0.0,Paid,0
82,2025-09-13 01:38:05,29,6,0,75.91,5.0,Failed,0
83,2025-09-13 01:43:14,69,4,0,335.87,20.0,Paid,1
84,2025-09-13 01:49:19,169,9,1,582.94,15.0,Failed,0
85,2025-09-13 01:59:49,36,3,2,589.07,5.0,Paid,0
86,2025-09-13 02:01:01,261,4,3,455.39,5.0,Refunded,0
87,2025-09-13 02:01:33,70,2,1,267.54,10.0,Refunded,0
88,2025-09-13 02:03:50,284,5,0,287.88,10.0,Failed,1
89,2025-09-13 02:07:55,91,12,2,279.44,0.0,Paid,1
90,2025-09-13 02:08:03,206,9,3,222.92,15.0,Paid,1
91,2025-09-13 02:08:51,32,3,4,531.76,20.0,Refunded,1
92,2025-09-13 02:13:25,264,5,3,287.05,15.0,Paid,1
93,not_a_time,57,9,1,670.01,10.0,Refunded,0
94,2025-09-13 02:28:41,296,8,2,107.7,10.0,Refunded,1
95,2025-09-13 02:32:07,15,18,2,382.41,20.0,Paid,1
96,2025-09-13 02:32:39,143,2,3,466.84,0.0,Paid,0
97,2025-09-13 02:38:10,129,9,2,599.65,20.0,Paid,1
98,2025-09-13 02:39:23,56,1,0,226.96,5.0,Paid,1
99,2025-09-13 02:39:30,111,15,0,476.56,10.0,Refunded,0
100,2025-09-13 02:46:53,134,9,2,476.54,15.0,Paid,0
101,2025-09-13 02:52:17,235,6,1,149.31,20.0,Paid,0
102,2025-09-13 02:55:52,59,8,4,644.9,0.0,Paid,0
103,2025-09-13 03:05:23,186,12,1,80.65,10.0,Paid,0
104,2025-09-13 03:06:24,244,11,0,39.02,15.0,Paid,0
105,2025-09-13 03:08:42,13,13,1,370.3,0.0,Paid,1
106,2025-09-13 03:10:28,160,15,1,120.23,10.0,Failed,1
107,2025-09-13 03:14:39,278,15,3,667.43,5.0,Paid,1
108,2025-09-13 03:18:27,169,16,4,617.23,10.0,Paid,0
109,2025-09-13 03:18:57,196,11,3,792.5,0.0,Failed,1
110,2025-09-13 03:29:56,196,12,2,713.25,10.0,Paid,0
111,2025-09-13 03:48:30,126,10,4,206.22,,Failed,0
112,2025-09-13 04:16:56,232,10,2,539.44,10.0,Paid,1
113,2025-09-13 04:19:13,226,17,2,561.56,10.0,Refunded,0
114,2025-09-13 04:19:41,284,8,4,255.9,20.0,Failed,0
115,2025-09-13 04:23:17,69,5,1,419.84,0.0,Refunded,1
116,2025-09-13 04:29:39,13,18,3,351.78,5.0,Paid,1
117,2025-09-13 04:42:57,219,11,2,53.98,20.0,Failed,0
118,2025-09-13 04:50:18,265,11,2,46.36,15.0,Paid,0
119,2025-09-13 05:03:07,188,9,1,56.3,15.0,Paid,1
120,2025-09-13 05:04:38,246,9,1,351.47,5.0,Failed,0
121,2025-09-13 05:07:06,171,9,2,358.54,10.0,Failed,0
122,2025-09-13 05:07:23,45,14,1,710.9,0.0,Refunded,1
123,2025-09-13 05:12:48,170,7,1,326.91,15.0,Paid,0
124,2025-09-13 05:15:12,141,12,4,606.14,15.0,Failed,1
125,2025-09-13 05:20:43,73,16,2,199.77,15.0,Paid,1
126,2025-09-13 05:27:48,278,17,2,702.56,0.0,Paid,0
127,2025-09-13 05:40:05,217,11,2,448.55,10.0,Paid,0
128,2025-09-13 05:41:34,136,6,1,649.4,0.0,Paid,1
129,2025-09-13 05:41:46,157,1,0,30.03,0.0,Paid,0
130,2025-09-13 05:45:25,28,8,3,385.87,20.0,Failed,1
131,2025-09-13 05:48:46,60,15,2,679.36,5.0,Refunded,0
132,2025-09-13 05:52:56,200,2,2,512.71,15.0,Failed,0
133,2025-09-13 06:04:51,43,18,2,255.68,0.0,Refunded,0
134,2025-09-13 06:17:04,35,12,0,68.9,0.0,Refunded,1
135,2025-09-13 06:17:35,94,9,0,655.61,0.0,Paid,0
136,2025-09-13 06:23:06,137,18,1,694.99,0.0,Refunded,0
137,2025-09-13 06:31:01,166,11,1,276.66,5.0,Failed,0
138,2025-09-13 06:37:31,276,8,1,336.74,20.0,Failed,0
139,2025-09-13 06:50:09,75,4,1,45.6,10.0,Refunded,1
140,2025-09-13 06:52:12,45,15,2,710.9,0.0,Paid,1
141,2025-09-13 06:56:04,15,17,2,430.21,10.0,Paid,1
142,2025-09-13 06:56:12,1,10,1,260.01,15.0,Failed,1
143,2025-09-13 06:59:21,61,7,2,518.3,20.0,Refunded,0
144,2025-09-13 07:01:34,114,14,2,739.75,5.0,Refunded,1
145,2025-09-13 07:03:53,293,14,4,433.83,15.0,Refunded,1
146,2025-09-13 07:11:04,180,14,3,715.14,5.0,Failed,1
147,2025-09-13 07:15:13,115,8,7,714.72,0.0,Failed,1
148,2025-09-13 07:15:44,245,4,1,684.75,10.0,Refunded,0
149,2025-09-13 07:16:13,111,14,1,423.61,20.0,Failed,0
150,2025-09-13 07:17:42,80,17,4,197.73,0.0,Failed,0
151,2025-09-13 07:18:42,269,9,2,613.1,10.0,Failed,1
152,2025-09-13 07:20:51,68,2,3,641.66,15.0,Refunded,1
153,2025-09-13 07:23:06,26,3,2,775.97,0.0,Failed,0
154,2025-09-13 07:31:07,20,15,3,495.49,10.0,Refunded,1
155,2025-09-13 07:46:30,247,5,0,229.13,0.0,Failed,1
156,2025-09-13 07:50:18,100,1,2,675.26,5.0,Failed,0
157,2025-09-13 07:54:33,214,13,3,340.87,5.0,Refunded,1
158,2025-09-13 07:54:58,5,5,2,484.88,0.0,Failed,1
159,2025-09-13 08:05:45,281,1,1,481.29,15.0,Paid,0
160,2025-09-13 08:10:26,111,17,2,450.08,15.0,Paid,1
161,2025-09-13 08:17:56,214,2,1,287.05,20.0,Failed,1
162,2025-09-13 08:20:58,26,7,2,737.17,5.0,Failed,1
163,2025-09-13 08:25:42,281,4,4,537.91,5.0,Refunded,0
164,2025-09-13 08:26:48,107,13,3,498.8,5.0,Paid,0
165,2025-09-13 09:00:05,181,11,3,316.65,0.0,Paid,0
166,2025-09-13 09:00:34,47,7,2,611.02,0.0,Paid,1
167,2025-09-13 09:12:42,208,16,1,509.15,0.0,Paid,0
168,2025-09-13 09:13:33,130,11,2,368.28,20.0,Failed,1
169,2025-09-13 09:17:09,73,6,1,223.27,5.0,Failed,1
170,2025-09-13 09:18:15,149,7,1,525.55,15.0,Failed,1
171,2025-09-13 09:19:38,156,18,1,356.79,0.0,Paid,1
172,2025-09-13 09:23:50,242,13,1,332.18,10.0,Failed,0
173,2025-09-13 09:24:02,62,14,3,222.04,15.0,Refunded,1
174,2025-09-13 09:27:12,201,12,1,73.18,20.0,Paid,0
175,2025-09-13 09:31:59,44,11,3,5277.5,10.0,Refunded,1
176,2025-09-13 09:45:17,203,12,1,223.41,15.0,Refunded,0
177,2025-09-13 09:59:14,220,5,2,567.93,,Paid,0
178,2025-09-13 10:07:38,118,8,1,156.03,5.0,Paid,0
179,2025-09-13 10:12:48,79,14,1,486.89,10.0,Refunded,1
180,2025-09-13 10:13:32,22,4,3,29.74,,Refunded,0
181,2025-09-13 10:19:39,294,9,0,59.44,15.0,Refunded,1
182,2025-09-13 10:22:47,55,4,0,152.6,,Paid,0
183,2025-09-13 10:24:58,94,6,2,622.83,5.0,Failed,0
184,2025-09-13 10:35:56,135,4,1,279.3,5.0,Failed,1
185,2025-09-13 10:38:35,202,7,4,388.69,5.0,Refunded,1
186,2025-09-13 10:38:54,202,2,0,409.15,0.0,Failed,0
187,2025-09-13 10:43:04,3,13,1,126.59,5.0,Failed,0
188,2025-09-13 10:50:13,230,6,1,54.48,0.0,Failed,0
189,2025-09-13 11:01:42,190,3,2,588.09,10.0,Paid,1
190,2025-09-13 11:05:40,215,17,4,258.5,10.0,Paid,0
191,2025-09-13 11:09:04,169,6,1,651.52,5.0,Paid,1
192,2025-09-13 11:09:59,148,13,0,99.34,10.0,Refunded,1
193,2025-09-13 11:10:29,182,2,0,334.82,10.0,Failed,1
194,2025-09-13 11:14:42,283,2,1,258.26,10.0,Paid,1
195,2025-09-13 11:28:25,247,1,2,206.22,10.0,Refunded,0
196,2025-09-13 11:30:02,226,12,5,499.16,20.0,Refunded,1
197,2025-09-13 11:53:24,242,1,4,295.27,20.0,Refunded,1
198,2025-09-13 11:53:28,290,15,2,338.95,15.0,Paid,1
199,2025-09-13 11:55:00,52,13,0,219.59,15.0,Failed,0
200,2025-09-13 12:05:22,241,5,5,405.78,20.0,Failed,0
201,2025-09-13 12:09:18,200,13,3,573.03,5.0,Paid,0
202,2025-09-13 12:28:08,196,15,1,752.88,5.0,Paid,1
203,2025-09-13 12:44:05,232,1,3,569.41,5.0,Refunded,1
204,2025-09-13 12:48:14,268,15,2,555.75,10.0,Refunded,1
205,2025-09-13 12:49:33,230,7,1,54.48,0.0,Failed,1
206,2025-09-13 12:50:35,118,14,3,131.39,20.0,Paid,1
207,not_a_time,40,16,4,263.87,10.0,Refunded,1
208,2025-09-13 12:52:43,247,5,1,183.3,20.0,Paid,0
209,2025-09-13 12:58:55,129,8,1,749.56,0.0,Refunded,0
210,2025-09-13 13:02:24,101,5,4,413.77,20.0,Paid,1
211,2025-09-13 13:11:34,153,10,2,496.07,15.0,Paid,1
212,2025-09-13 13:18:12,289,7,2,126.19,0.0,Paid,0
213,2025-09-13 13:20:40,235,16,0,186.64,0.0,Paid,1
214,2025-09-13 13:29:46,219,3,1,60.73,10.0,Paid,0
215,2025-09-13 13:30:38,263,13,1,672.28,0.0,Failed,0
216,2025-09-13 13:31:34,258,17,1,38.86,15.0,Refunded,1
217,2025-09-13 13:38:12,172,18,50,117.46,20.0,Failed,0
218,2025-09-13 13:46:14,67,7,0,94.22,10.0,Refunded,1
219,2025-09-13 13:48:26,65,18,1,12.39,20.0,Refunded,1
220,2025-09-13 14:02:54,280,18,1,576.23,5.0,Paid,1
221,2025-09-13 14:03:22,148,13,3,110.38,0.0,Failed,0
222,2025-09-13 14:08:38,150,2,2,426.77,15.0,Refunded,0
223,2025-09-13 14:23:23,152,4,2,349.68,20.0,Failed,1
224,2025-09-13 14:37:17,130,3,2,460.35,0.0,Refunded,1
225,2025-09-13 14:39:00,100,13,1,604.18,15.0,Failed,0
226,2025-09-13 14:39:48,180,4,3,752.78,0.0,Refunded,0
227,2025-09-13 14:41:39,17,7,1,52.18,15.0,Paid,1
228,2025-09-13 14:52:28,129,6,1,749.56,0.0,Refunded,1
229,2025-09-13 14:54:09,197,16,0,288.7,5.0,Failed,1
230,2025-09-13 15:03:33,24,17,0,205.0,20.0,Failed,0
231,2025-09-13 15:14:45,189,4,0,677.45,0.0,Paid,0
232,2025-09-13 15:27:15,82,13,1,510.49,0.0,Failed,0
233,2025-09-13 15:38:09,212,8,2,77.95,5.0,Refunded,0
234,2025-09-13 15:42:23,279,18,4,115.87,0.0,Refunded,1
235,2025-09-13 15:44:40,99,2,3,495.98,15.0,Paid,0
236,2025-09-13 15:44:53,120,10,0,519.92,0.0,Refunded,0
237,2025-09-13 15:47:01,288,13,1,656.71,5.0,Paid,0
238,2025-09-13 15:50:20,222,16,0,275.1,10.0,Paid,1
239,2025-09-13 15:51:51,99,1,2,525.15,10.0,Failed,0
240,2025-09-13 15:58:49,16,12,1,416.47,15.0,Failed,0
241,not_a_time,131,18,1,446.27,10.0,Paid,0
242,2025-09-13 16:20:24,36,7,0,527.06,15.0,Paid,0
243,2025-09-13 16:31:32,218,16,1,64.97,15.0,Paid,1
244,2025-09-13 16:39:30,280,9,1,606.56,0.0,Failed,1
245,2025-09-13 16:40:27,223,9,1,586.9,10.0,Failed,1
246,2025-09-13 16:44:45,266,15,2,652.19,0.0,Refunded,0
247,2025-09-13 16:55:40,53,3,3,726.98,0.0,Paid,1
248,2025-09-13 16:57:26,234,8,5,235.71,0.0,Failed,0
249,2025-09-13 17:05:00,74,13,5,466.98,5.0,Refunded,0
250,2025-09-13 17:07:43,59,3,1,515.92,20.0,Failed,1
251,2025-09-13 17:30:58,210,3,1,487.16,10.0,Failed,0
252,2025-09-13 17:37:22,79,14,4,540.99,0.0,Paid,0
253,2025-09-13 17:37:56,232,14,3,479.5,20.0,Failed,1
254,2025-09-13 17:38:14,225,14,2,245.8,20.0,Paid,0
255,2025-09-13 17:44:51,59,1,3,548.16,15.0,Refunded,1
256,2025-09-13 17:55:12,64,2,1,557.8,15.0,Failed,1
257,2025-09-13 17:57:39,125,4,2,694.13,10.0,Refunded,0
258,2025-09-13 18:17:49,20,3,2,467.96,15.0,Paid,0
259,2025-09-13 18:18:30,188,2,3,56.3,15.0,Failed,1
260,2025-09-13 18:18:37,49,12,3,422.96,0.0,Refunded,0
261,2025-09-13 18:23:16,102,2,0,117.04,15.0,Refunded,0
262,2025-09-13 18:24:01,161,14,0,355.11,20.0,Refunded,1
263,2025-09-13 18:40:11,17,10,1,55.25,10.0,Refunded,0
264,2025-09-13 18:45:03,162,8,2,478.4,10.0,Refunded,1
265,not_a_time,240,9,4,736.96,5.0,Paid,0
266,2025-09-13 18:54:08,270,17,1,311.04,15.0,Failed,0
267,2025-09-13 18:55:12,245,5,0,760.83,0.0,Failed,1
268,2025-09-13 19:06:06,115,18,0,678.98,5.0,Refunded,1
269,2025-09-13 19:07:14,28,14,2,458.22,5.0,Refunded,1
270,2025-09-13 19:14:39,142,7,1,306.71,0.0,Failed,1
271,2025-09-13 19:24:18,189,4,3,609.71,10.0,Failed,1
272,2025-09-13 19:36:52,160,7,5,133.59,0.0,Failed,1
273,2025-09-13 19:41:23,88,6,1,519.69,0.0,Failed,1
274,2025-09-13 19:48:56,38,1,2,483.16,15.0,Paid,1
275,2025-09-13 19:54:53,297,5,2,146.01,5.0,Refunded,0
276,2025-09-13 19:59:39,245,18,3,760.83,0.0,Failed,1
277,2025-09-13 20:11:07,151,3,0,48.29,5.0,Failed,0
278,2025-09-13 20:15:44,72,4,1,382.69,5.0,Failed,1
279,2025-09-13 20:17:26,111,8,3,450.08,15.0,Paid,0
280,not_a_time,162,17,2,478.4,10.0,Paid,1
281,2025-09-13 20:26:22,179,7,1,27.85,10.0,Failed,0
282,2025-09-13 20:26:39,251,10,4,477.32,15.0,Paid,1
283,2025-09-13 20:36:27,201,16,0,77.75,15.0,Paid,1
284,2025-09-13 20:46:06,241,2,5,507.22,0.0,Refunded,1
285,2025-09-13 20:48:03,245,12,2,646.71,15.0,Refunded,0
286,not_a_time,174,1,1,511.72,0.0,Failed,0
287,2025-09-13 21:11:51,21,12,1,106.41,0.0,Paid,1
288,2025-09-13 21:13:47,222,13,3,259.82,15.0,Failed,0
289,2025-09-13 21:16:07,186,15,1,71.69,20.0,Refunded,0
290,2025-09-13 21:16:44,90,17,3,675.02,10.0,Refunded,1
291,2025-09-13 21:23:07,214,8,3,287.05,20.0,Refunded,0
292,2025-09-13 21:23:42,258,16,1,43.43,5.0,Failed,0
293,2025-09-13 21:29:28,10,16,3,333.68,5.0,Failed,1
294,2025-09-13 21:30:35,177,15,3,450.81,15.0,Paid,1
295,2025-09-13 21:31:47,116,16,2,574.11,10.0,Failed,1
296,2025-09-13 21:37:27,201,9,4,82.32,10.0,Paid,1
297,2025-09-13 22:02:57,29,12,3,75.91,5.0,Failed,0
298,2025-09-13 22:05:54,192,8,0,430.83,15.0,Paid,0
299,2025-09-13 22:09:14,86,3,3,518.02,5.0,Refunded,0
300,2025-09-13 22:12:45,138,6,0,331.17,20.0,Paid,0
301,2025-09-13 22:13:26,294,13,1,66.43,5.0,Failed,0
302,2025-09-13 22:14:36,280,13,3,515.58,15.0,Failed,1
303,2025-09-13 22:21:23,2,13,2,470.62,20.0,Failed,1
304,2025-09-13 22:29:37,8,15,5,153.64,0.0,Refunded,0
305,2025-09-13 22:32:51,30,8,1,45.73,0.0,Refunded,1
306,2025-09-13 22:34:42,267,10,2,757.47,,Paid,1
307,2025-09-13 22:36:05,250,18,2,662.8,15.0,Refunded,0
308,2025-09-13 22:39:33,273,17,2,473.4,5.0,Failed,0
309,2025-09-13 22:46:06,219,18,2,67.48,0.0,Failed,0
310,2025-09-13 22:49:39,283,2,3,229.57,20.0,Paid,0
311,2025-09-13 22:50:27,98,12,3,277.83,0.0,Failed,0
312,2025-09-13 22:51:24,153,15,1,466.89,20.0,Paid,1
313,2025-09-13 22:55:44,271,10,3,687.33,10.0,Failed,0
314,2025-09-13 22:59:56,53,16,0,690.63,5.0,Failed,0
315,2025-09-13 23:06:12,113,1,2,208.53,5.0,Failed,0
316,2025-09-13 23:08:56,142,2,3,276.04,10.0,Failed,1
317,2025-09-13 23:10:17,241,16,1,405.78,20.0,Refunded,1
318,2025-09-13 23:18:16,195,17,4,512.54,15.0,Failed,0
319,2025-09-13 23:30:37,41,4,1,553.48,20.0,Paid,0
320,2025-09-13 23:31:32,39,11,0,5264.0,15.0,Failed,0
321,2025-09-13 23:32:56,2,3,3,588.28,0.0,Failed,0
322,2025-09-13 23:38:11,290,7,3,398.77,0.0,Paid,1
323,not_a_time,106,5,2,421.32,5.0,Paid,1
324,2025-09-13 23:49:33,287,14,1,258.62,20.0,Failed,1
325,2025-09-13 23:49:54,206,5,0,236.03,10.0,Paid,1
326,2025-09-13 23:59:51,84,6,50,237.08,10.0,Failed,0
327,2025-09-14 00:08:26,249,2,4,400.43,15.0,Paid,0
328,2025-09-14 00:17:19,147,2,2,527.88,20.0,Failed,0
329,2025-09-14 00:27:08,152,7,1,437.1,0.0,Paid,0
330,2025-09-14 00:30:41,265,13,4,54.54,0.0,Refunded,0
331,2025-09-14 00:41:48,50,1,1,27.07,10.0,Refunded,1
332,2025-09-14 00:49:46,20,16,1,550.54,0.0,Failed,1
333,2025-09-14 00:51:10,258,2,5,43.43,5.0,Paid,1
334,2025-09-14 01:00:52,201,10,2,73.18,20.0,Refunded,0
335,2025-09-14 01:05:16,50,13,2,24.06,20.0,Refunded,1
336,2025-09-14 01:08:28,228,2,0,78.28,20.0,Paid,1
337,2025-09-14 01:13:03,266,5,2,586.97,10.0,Refunded,0
338,2025-09-14 01:33:55,40,10,3,234.55,20.0,Refunded,1
339,2025-09-14 01:36:25,37,4,1,11.49,20.0,Failed,1
340,2025-09-14 01:37:30,149,1,1,494.63,20.0,Refunded,0
341,2025-09-14 01:39:11,244,4,3,41.31,10.0,Failed,0
342,2025-09-14 01:42:35,85,11,0,33.77,20.0,Refunded,1
343,2025-09-14 01:45:29,295,12,1,111.16,,Failed,1
344,2025-09-14 01:45:37,216,18,1,110.66,10.0,Refunded,1
345,2025-09-14 01:49:15,246,5,0,369.97,0.0,Failed,0
346,2025-09-14 01:51:33,195,17,2,512.54,,Refunded,0
347,2025-09-14 01:56:50,237,10,1,37.48,15.0,Refunded,0
348,2025-09-14 01:57:04,130,15,1,460.35,0.0,Refunded,1
349,2025-09-14 02:02:54,289,1,1,100.95,20.0,Refunded,0
350,2025-09-14 02:05:24,56,9,0,238.9,0.0,Refunded,0
351,2025-09-14 02:05:29,26,9,2,620.78,20.0,Refunded,1
352,2025-09-14 02:05:45,116,11,0,542.21,15.0,Failed,1
353,2025-09-14 02:11:22,120,6,3,467.93,10.0,Paid,1
354,2025-09-14 02:14:19,71,8,4,654.78,15.0,Failed,1
355,2025-09-14 02:14:33,11,6,3,444.02,10.0,Refunded,1
356,2025-09-14 02:16:06,188,17,2,52.99,20.0,Failed,0
357,2025-09-14 02:23:51,131,10,1,471.07,5.0,Failed,0
358,2025-09-14 02:31:01,189,15,3,677.45,0.0,Refunded,0
359,2025-09-14 02:34:27,216,7,3,116.81,5.0,Refunded,1
360,2025-09-14 02:35:46,157,4,0,30.03,0.0,Paid,1
361,2025-09-14 02:36:33,21,13,0,90.45,15.0,Failed,1
362,2025-09-14 02:36:53,160,7,2,106.87,20.0,Refunded,0
363,2025-09-14 02:38:24,25,2,1,397.71,10.0,Paid,1
364,2025-09-14 02:40:18,154,18,3,334.3,20.0,Failed,1
365,2025-09-14 02:44:17,180,12,2,639.86,15.0,Failed,0
366,2025-09-14 02:53:51,221,1,3,73.17,5.0,Refunded,1
367,2025-09-14 02:54:40,285,8,2,688.08,5.0,Refunded,1
368,2025-09-14 03:15:17,247,2,2,183.3,20.0,Paid,0
369,2025-09-14 03:21:47,210,4,2,541.29,0.0,Paid,1
370,2025-09-14 03:27:39,120,7,2,493.92,5.0,Refunded,1
371,2025-09-14 03:31:58,253,2,0,523.39,5.0,Failed,1
372,2025-09-14 03:36:10,251,16,1,533.47,5.0,Paid,1
373,2025-09-14 03:36:28,214,17,2,287.05,20.0,Paid,0
374,2025-09-14 03:37:58,97,4,50,649.2,10.0,Refunded,0
375,2025-09-14 03:49:17,53,6,2,581.58,20.0,Refunded,1
376,2025-09-14 04:22:42,16,12,2,391.97,20.0,Failed,0
377,2025-09-14 04:27:39,242,5,3,350.64,5.0,Paid,1
378,2025-09-14 04:34:07,155,17,5,638.2,0.0,Failed,0
379,not_a_time,191,4,0,87.85,15.0,Failed,1
380,2025-09-14 04:50:15,62,12,2,261.22,0.0,Failed,1
381,2025-09-14 04:51:23,214,18,3,287.05,20.0,Failed,1
382,2025-09-14 04:57:37,300,9,3,137.62,15.0,Refunded,1
383,2025-09-14 05:11:11,245,18,3,646.71,15.0,Failed,0
384,2025-09-14 05:17:55,24,1,1,243.44,5.0,Refunded,0
385,2025-09-14 05:22:11,256,10,1,420.41,15.0,Refunded,0
386,2025-09-14 05:26:56,74,1,4,491.56,0.0,Failed,0
387,2025-09-14 05:31:23,83,13,1,81.33,0.0,Paid,1
388,2025-09-14 05:36:46,188,17,3,59.62,10.0,Failed,0
389,2025-09-14 05:39:00,191,8,1,103.35,0.0,Paid,1
390,2025-09-14 05:39:34,151,6,2,45.75,10.0,Refunded,1
391,2025-09-14 05:45:34,206,1,3,236.03,10.0,Refunded,0
392,2025-09-14 06:04:30,5,7,1,387.9,20.0,Failed,0
393,2025-09-14 06:04:54,276,9,0,378.84,10.0,Paid,0
394,2025-09-14 06:08:45,178,6,1,65.75,0.0,Failed,1
395,2025-09-14 06:11:04,293,10,4,510.39,0.0,Paid,1
396,2025-09-14 06:11:43,99,11,3,554.32,5.0,Failed,0
