record identifier,issue_type,issue_detail,action_taken
stores | store_id: 1,DATA_NORMALIZATION,Field 'city' had value 'Sharjah-Emirate',Standardized
products | product_id: 22,DATA_NORMALIZATION,Field 'category' had value 'fashion',Standardized
products | product_id: 23,DATA_NORMALIZATION,Field 'category' had value 'Groceries',Standardized
products | product_id: 24,DATA_NORMALIZATION,Field 'category' had value 'HOME',Standardized
products | product_id: 26,DATA_NORMALIZATION,Field 'category' had value 'Elec-Gadgets',Standardized
products | product_id: 27,DATA_NORMALIZATION,Field 'category' had value 'Fashion-Wear',Standardized
products | product_id: 30,DATA_NORMALIZATION,Field 'category' had value 'Beauty-Cosmetics',Standardized
products | product_id: 32,DATA_NORMALIZATION,Field 'category' had value 'fashion',Standardized
products | product_id: 33,DATA_NORMALIZATION,Field 'category' had value 'Groceries',Standardized
products | product_id: 34,DATA_NORMALIZATION,Field 'category' had value 'home',Standardized
products | product_id: 36,DATA_NORMALIZATION,Field 'category' had value 'ELECTRONICS',Standardized
products | product_id: 37,DATA_NORMALIZATION,Field 'category' had value 'fashion',Standardized
products | product_id: 38,DATA_NORMALIZATION,Field 'category' had value 'GROCERY',Standardized
products | product_id: 39,DATA_NORMALIZATION,Field 'category' had value 'Home-Decor',Standardized
products | product_id: 40,DATA_NORMALIZATION,Field 'category' had value 'BEAUTY',Standardized
products | product_id: 44,DATA_NORMALIZATION,Field 'category' had value 'HOME',Standardized
products | product_id: 45,DATA_NORMALIZATION,Field 'category' had value 'BEAUTY',Standardized
products | product_id: 46,DATA_NORMALIZATION,Field 'category' had value 'Elec-Gadgets',Standardized
products | product_id: 48,DATA_NORMALIZATION,Field 'category' had value 'Groceries',Standardized
products | product_id: 50,DATA_NORMALIZATION,Field 'category' had value 'BEAUTY',Standardized
products | product_id: 51,DATA_NORMALIZATION,Field 'category' had value 'ELECTRONICS',Standardized
products | product_id: 52,DATA_NORMALIZATION,Field 'category' had value 'Fashion-Wear',Standardized
products | product_id: 54,DATA_NORMALIZATION,Field 'category' had value 'HOME',Standardized
products | product_id: 55,DATA_NORMALIZATION,Field 'category' had value 'Beauty-Cosmetics',Standardized
products | product_id: 56,DATA_NORMALIZATION,Field 'category' had value 'ELECTRONICS',Standardized
products | product_id: 57,DATA_NORMALIZATION,Field 'category' had value 'fashion',Standardized
products | product_id: 58,DATA_NORMALIZATION,Field 'category' had value 'Groceries',Standardized
products | product_id: 59,DATA_NORMALIZATION,Field 'category' had value 'HOME',Standardized
products | product_id: 63,DATA_NORMALIZATION,Field 'category' had value 'Groceries',Standardized
products | product_id: 65,DATA_NORMALIZATION,Field 'category' had value 'BEAUTY',Standardized
products | product_id: 66,DATA_NORMALIZATION,Field 'category' had value 'Elec-Gadgets',Standardized
products | product_id: 67,DATA_NORMALIZATION,Field 'category' had value 'fashion',Standardized
products | product_id: 69,DATA_NORMALIZATION,Field 'category' had value 'HOME',Standardized
products | product_id: 70,DATA_NORMALIZATION,Field 'category' had value 'beauty',Standardized
products | product_id: 71,DATA_NORMALIZATION,Field 'category' had value 'electronics',Standardized
products | product_id: 74,DATA_NORMALIZATION,Field 'category' had value 'home',Standardized
products | product_id: 75,DATA_NORMALIZATION,Field 'category' had value 'BEAUTY',Standardized
products | product_id: 78,DATA_NORMALIZATION,Field 'category' had value 'grocery',Standardized
products | product_id: 81,DATA_NORMALIZATION,Field 'category' had value 'ELECTRONICS',Standardized
products | product_id: 84,DATA_NORMALIZATION,Field 'category' had value 'HOME',Standardized
products | product_id: 86,DATA_NORMALIZATION,Field 'category' had value 'ELECTRONICS',Standardized
products | product_id: 87,DATA_NORMALIZATION,Field 'category' had value 'Fashion-Wear',Standardized
products | product_id: 88,DATA_NORMALIZATION,Field 'category' had value 'GROCERY',Standardized
products | product_id: 89,DATA_NORMALIZATION,Field 'category' had value 'HOME',Standardized
products | product_id: 90,DATA_NORMALIZATION,Field 'category' had value 'Beauty-Cosmetics',Standardized
products | product_id: 91,DATA_NORMALIZATION,Field 'category' had value 'electronics',Standardized
products | product_id: 93,DATA_NORMALIZATION,Field 'category' had value 'grocery',Standardized
products | product_id: 94,DATA_NORMALIZATION,Field 'category' had value 'home',Standardized
products | product_id: 95,DATA_NORMALIZATION,Field 'category' had value 'Beauty-Cosmetics',Standardized
products | product_id: 97,DATA_NORMALIZATION,Field 'category' had value 'fashion',Standardized
products | product_id: 98,DATA_NORMALIZATION,Field 'category' had value 'grocery',Standardized
products | product_id: 99,DATA_NORMALIZATION,Field 'category' had value 'Home-Decor',Standardized
products | product_id: 100,DATA_NORMALIZATION,Field 'category' had value 'BEAUTY',Standardized
products | product_id: 101,DATA_NORMALIZATION,Field 'category' had value 'ELECTRONICS',Standardized
products | product_id: 103,DATA_NORMALIZATION,Field 'category' had value 'Groceries',Standardized
products | product_id: 104,DATA_NORMALIZATION,Field 'category' had value 'Home-Decor',Standardized
products | product_id: 105,DATA_NORMALIZATION,Field 'category' had value 'BEAUTY',Standardized
products | product_id: 107,DATA_NORMALIZATION,Field 'category' had value 'FASHION',Standardized
products | product_id: 108,DATA_NORMALIZATION,Field 'category' had value 'GROCERY',Standardized
products | product_id: 109,DATA_NORMALIZATION,Field 'category' had value 'Home-Decor',Standardized
products | product_id: 110,DATA_NORMALIZATION,Field 'category' had value 'Beauty-Cosmetics',Standardized
products | product_id: 112,DATA_NORMALIZATION,Field 'category' had value 'FASHION',Standardized
products | product_id: 113,DATA_NORMALIZATION,Field 'category' had value 'GROCERY',Standardized
products | product_id: 114,DATA_NORMALIZATION,Field 'category' had value 'Home-Decor',Standardized
products | product_id: 115,DATA_NORMALIZATION,Field 'category' had value 'Beauty-Cosmetics',Standardized
products | product_id: 116,DATA_NORMALIZATION,Field 'category' had value 'Elec-Gadgets',Standardized
products | product_id: 117,DATA_NORMALIZATION,Field 'category' had value 'fashion',Standardized
products | product_id: 118,DATA_NORMALIZATION,Field 'category' had value 'grocery',Standardized
products | product_id: 119,DATA_NORMALIZATION,Field 'category' had value 'HOME',Standardized
products | product_id: 121,DATA_NORMALIZATION,Field 'category' had value 'Elec-Gadgets',Standardized
products | product_id: 122,DATA_NORMALIZATION,Field 'category' had value 'Fashion-Wear',Standardized
products | product_id: 123,DATA_NORMALIZATION,Field 'category' had value 'Groceries',Standardized
products | product_id: 124,DATA_NORMALIZATION,Field 'category' had value 'Home-Decor',Standardized
products | product_id: 125,DATA_NORMALIZATION,Field 'category' had value 'Beauty-Cosmetics',Standardized
products | product_id: 126,DATA_NORMALIZATION,Field 'category' had value 'Elec-Gadgets',Standardized
products | product_id: 127,DATA_NORMALIZATION,Field 'category' had value 'FASHION',Standardized
products | product_id: 129,DATA_NORMALIZATION,Field 'category' had value 'HOME',Standardized
products | product_id: 130,DATA_NORMALIZATION,Field 'category' had value 'Beauty-Cosmetics',Standardized
products | product_id: 131,DATA_NORMALIZATION,Field 'category' had value 'Elec-Gadgets',Standardized
products | product_id: 133,DATA_NORMALIZATION,Field 'category' had value 'GROCERY',Standardized
products | product_id: 134,DATA_NORMALIZATION,Field 'category' had value 'Home-Decor',Standardized
products | product_id: 136,DATA_NORMALIZATION,Field 'category' had value 'electronics',Standardized
products | product_id: 138,DATA_NORMALIZATION,Field 'category' had value 'GROCERY',Standardized
products | product_id: 140,DATA_NORMALIZATION,Field 'category' had value 'beauty',Standardized
products | product_id: 141,DATA_NORMALIZATION,Field 'category' had value 'ELECTRONICS',Standardized
products | product_id: 142,DATA_NORMALIZATION,Field 'category' had value 'fashion',Standardized
products | product_id: 143,DATA_NORMALIZATION,Field 'category' had value 'GROCERY',Standardized
products | product_id: 144,DATA_NORMALIZATION,Field 'category' had value 'home',Standardized
products | product_id: 145,DATA_NORMALIZATION,Field 'category' had value 'beauty',Standardized
products | product_id: 147,DATA_NORMALIZATION,Field 'category' had value 'Fashion-Wear',Standardized
products | product_id: 148,DATA_NORMALIZATION,Field 'category' had value 'grocery',Standardized
products | product_id: 149,DATA_NORMALIZATION,Field 'category' had value 'HOME',Standardized
products | product_id: 150,DATA_NORMALIZATION,Field 'category' had value 'Beauty-Cosmetics',Standardized
products | product_id: 151,DATA_NORMALIZATION,Field 'category' had value 'ELECTRONICS',Standardized
products | product_id: 152,DATA_NORMALIZATION,Field 'category' had value 'FASHION',Standardized
products | product_id: 154,DATA_NORMALIZATION,Field 'category' had value 'Home-Decor',Standardized
products | product_id: 155,DATA_NORMALIZATION,Field 'category' had value 'beauty',Standardized
products | product_id: 156,DATA_NORMALIZATION,Field 'category' had value 'ELECTRONICS',Standardized
products | product_id: 157,DATA_NORMALIZATION,Field 'category' had value 'Fashion-Wear',Standardized
products | product_id: 158,DATA_NORMALIZATION,Field 'category' had value 'Groceries',Standardized
products | product_id: 159,DATA_NORMALIZATION,Field 'category' had value 'home',Standardized
products | product_id: 160,DATA_NORMALIZATION,Field 'category' had value 'beauty',Standardized
products | product_id: 161,DATA_NORMALIZATION,Field 'category' had value 'electronics',Standardized
products | product_id: 162,DATA_NORMALIZATION,Field 'category' had value 'Fashion-Wear',Standardized
products | product_id: 163,DATA_NORMALIZATION,Field 'category' had value 'GROCERY',Standardized
products | product_id: 165,DATA_NORMALIZATION,Field 'category' had value 'BEAUTY',Standardized
products | product_id: 167,DATA_NORMALIZATION,Field 'category' had value 'fashion',Standardized
products | product_id: 168,DATA_NORMALIZATION,Field 'category' had value 'GROCERY',Standardized
products | product_id: 169,DATA_NORMALIZATION,Field 'category' had value 'home',Standardized
products | product_id: 171,DATA_NORMALIZATION,Field 'category' had value 'Elec-Gadgets',Standardized
products | product_id: 176,DATA_NORMALIZATION,Field 'category' had value 'ELECTRONICS',Standardized
products | product_id: 177,DATA_NORMALIZATION,Field 'category' had value 'Fashion-Wear',Standardized
products | product_id: 179,DATA_NORMALIZATION,Field 'category' had value 'HOME',Standardized
products | product_id: 180,DATA_NORMALIZATION,Field 'category' had value 'BEAUTY',Standardized
products | product_id: 182,DATA_NORMALIZATION,Field 'category' had value 'fashion',Standardized
products | product_id: 183,DATA_NORMALIZATION,Field 'category' had value 'grocery',Standardized
products | product_id: 184,DATA_NORMALIZATION,Field 'category' had value 'home',Standardized
products | product_id: 186,DATA_NORMALIZATION,Field 'category' had value 'electronics',Standardized
products | product_id: 187,DATA_NORMALIZATION,Field 'category' had value 'FASHION',Standardized
products | product_id: 189,DATA_NORMALIZATION,Field 'category' had value 'home',Standardized
products | product_id: 191,DATA_NORMALIZATION,Field 'category' had value 'electronics',Standardized
products | product_id: 194,DATA_NORMALIZATION,Field 'category' had value 'home',Standardized
products | product_id: 196,DATA_NORMALIZATION,Field 'category' had value 'electronics',Standardized
products | product_id: 197,DATA_NORMALIZATION,Field 'category' had value 'fashion',Standardized
products | product_id: 198,DATA_NORMALIZATION,Field 'category' had value 'Groceries',Standardized
products | product_id: 201,DATA_NORMALIZATION,Field 'category' had value 'Elec-Gadgets',Standardized
products | product_id: 202,DATA_NORMALIZATION,Field 'category' had value 'Fashion-Wear',Standardized
products | product_id: 203,DATA_NORMALIZATION,Field 'category' had value 'grocery',Standardized
products | product_id: 204,DATA_NORMALIZATION,Field 'category' had value 'Home-Decor',Standardized
products | product_id: 205,DATA_NORMALIZATION,Field 'category' had value 'BEAUTY',Standardized
products | product_id: 206,DATA_NORMALIZATION,Field 'category' had value 'Elec-Gadgets',Standardized
products | product_id: 207,DATA_NORMALIZATION,Field 'category' had value 'Fashion-Wear',Standardized
products | product_id: 208,DATA_NORMALIZATION,Field 'category' had value 'grocery',Standardized
products | product_id: 209,DATA_NORMALIZATION,Field 'category' had value 'Home-Decor',Standardized
products | product_id: 210,DATA_NORMALIZATION,Field 'category' had value 'BEAUTY',Standardized
products | product_id: 212,DATA_NORMALIZATION,Field 'category' had value 'fashion',Standardized
products | product_id: 213,DATA_NORMALIZATION,Field 'category' had value 'Groceries',Standardized
products | product_id: 214,DATA_NORMALIZATION,Field 'category' had value 'home',Standardized
products | product_id: 215,DATA_NORMALIZATION,Field 'category' had value 'beauty',Standardized
products | product_id: 216,DATA_NORMALIZATION,Field 'category' had value 'ELECTRONICS',Standardized
products | product_id: 217,DATA_NORMALIZATION,Field 'category' had value 'Fashion-Wear',Standardized
products | product_id: 218,DATA_NORMALIZATION,Field 'category' had value 'Groceries',Standardized
products | product_id: 222,DATA_NORMALIZATION,Field 'category' had value 'Fashion-Wear',Standardized
products | product_id: 223,DATA_NORMALIZATION,Field 'category' had value 'grocery',Standardized
products | product_id: 224,DATA_NORMALIZATION,Field 'category' had value 'HOME',Standardized
products | product_id: 225,DATA_NORMALIZATION,Field 'category' had value 'Beauty-Cosmetics',Standardized
products | product_id: 226,DATA_NORMALIZATION,Field 'category' had value 'ELECTRONICS',Standardized
products | product_id: 227,DATA_NORMALIZATION,Field 'category' had value 'fashion',Standardized
products | product_id: 228,DATA_NORMALIZATION,Field 'category' had value 'grocery',Standardized
products | product_id: 229,DATA_NORMALIZATION,Field 'category' had value 'Home-Decor',Standardized
products | product_id: 230,DATA_NORMALIZATION,Field 'category' had value 'BEAUTY',Standardized
products | product_id: 231,DATA_NORMALIZATION,Field 'category' had value 'Elec-Gadgets',Standardized
products | product_id: 232,DATA_NORMALIZATION,Field 'category' had value 'Fashion-Wear',Standardized
products | product_id: 235,DATA_NORMALIZATION,Field 'category' had value 'Beauty-Cosmetics',Standardized
products | product_id: 236,DATA_NORMALIZATION,Field 'category' had value 'ELECTRONICS',Standardized
products | product_id: 237,DATA_NORMALIZATION,Field 'category' had value 'FASHION',Standardized
products | product_id: 238,DATA_NORMALIZATION,Field 'category' had value 'grocery',Standardized
products | product_id: 240,DATA_NORMALIZATION,Field 'category' had value 'beauty',Standardized
products | product_id: 241,DATA_NORMALIZATION,Field 'category' had value 'ELECTRONICS',Standardized
products | product_id: 245,DATA_NORMALIZATION,Field 'category' had value 'BEAUTY',Standardized
products | product_id: 246,DATA_NORMALIZATION,Field 'category' had value 'electronics',Standardized
products | product_id: 247,DATA_NORMALIZATION,Field 'category' had value 'fashion',Standardized
products | product_id: 249,DATA_NORMALIZATION,Field 'category' had value 'home',Standardized
products | product_id: 250,DATA_NORMALIZATION,Field 'category' had value 'beauty',Standardized
products | product_id: 251,DATA_NORMALIZATION,Field 'category' had value 'electronics',Standardized
products | product_id: 253,DATA_NORMALIZATION,Field 'category' had value 'grocery',Standardized
products | product_id: 254,DATA_NORMALIZATION,Field 'category' had value 'Home-Decor',Standardized
products | product_id: 255,DATA_NORMALIZATION,Field 'category' had value 'BEAUTY',Standardized
products | product_id: 256,DATA_NORMALIZATION,Field 'category' had value 'Elec-Gadgets',Standardized
products | product_id: 257,DATA_NORMALIZATION,Field 'category' had value 'FASHION',Standardized
products | product_id: 258,DATA_NORMALIZATION,Field 'category' had value 'Groceries',Standardized
products | product_id: 261,DATA_NORMALIZATION,Field 'category' had value 'Elec-Gadgets',Standardized
products | product_id: 262,DATA_NORMALIZATION,Field 'category' had value 'fashion',Standardized
products | product_id: 263,DATA_NORMALIZATION,Field 'category' had value 'Groceries',Standardized
products | product_id: 264,DATA_NORMALIZATION,Field 'category' had value 'Home-Decor',Standardized
products | product_id: 266,DATA_NORMALIZATION,Field 'category' had value 'ELECTRONICS',Standardized
products | product_id: 267,DATA_NORMALIZATION,Field 'category' had value 'FASHION',Standardized
products | product_id: 268,DATA_NORMALIZATION,Field 'category' had value 'grocery',Standardized
products | product_id: 269,DATA_NORMALIZATION,Field 'category' had value 'HOME',Standardized
products | product_id: 272,DATA_NORMALIZATION,Field 'category' had value 'FASHION',Standardized
products | product_id: 273,DATA_NORMALIZATION,Field 'category' had value 'Groceries',Standardized
products | product_id: 274,DATA_NORMALIZATION,Field 'category' had value 'Home-Decor',Standardized
products | product_id: 275,DATA_NORMALIZATION,Field 'category' had value 'beauty',Standardized
products | product_id: 276,DATA_NORMALIZATION,Field 'category' had value 'Elec-Gadgets',Standardized
products | product_id: 277,DATA_NORMALIZATION,Field 'category' had value 'Fashion-Wear',Standardized
products | product_id: 278,DATA_NORMALIZATION,Field 'category' had value 'grocery',Standardized
products | product_id: 279,DATA_NORMALIZATION,Field 'category' had value 'HOME',Standardized
products | product_id: 280,DATA_NORMALIZATION,Field 'category' had value 'beauty',Standardized
products | product_id: 282,DATA_NORMALIZATION,Field 'category' had value 'Fashion-Wear',Standardized
products | product_id: 283,DATA_NORMALIZATION,Field 'category' had value 'Groceries',Standardized
products | product_id: 284,DATA_NORMALIZATION,Field 'category' had value 'home',Standardized
products | product_id: 285,DATA_NORMALIZATION,Field 'category' had value 'beauty',Standardized
products | product_id: 288,DATA_NORMALIZATION,Field 'category' had value 'grocery',Standardized
products | product_id: 289,DATA_NORMALIZATION,Field 'category' had value 'Home-Decor',Standardized
products | product_id: 290,DATA_NORMALIZATION,Field 'category' had value 'beauty',Standardized
products | product_id: 291,DATA_NORMALIZATION,Field 'category' had value 'Elec-Gadgets',Standardized
products | product_id: 292,DATA_NORMALIZATION,Field 'category' had value 'fashion',Standardized
products | product_id: 293,DATA_NORMALIZATION,Field 'category' had value 'Groceries',Standardized
products | product_id: 295,DATA_NORMALIZATION,Field 'category' had value 'beauty',Standardized
products | product_id: 296,DATA_NORMALIZATION,Field 'category' had value 'ELECTRONICS',Standardized
products | product_id: 297,DATA_NORMALIZATION,Field 'category' had value 'FASHION',Standardized
products | product_id: 298,DATA_NORMALIZATION,Field 'category' had value 'Groceries',Standardized
products | product_id: 299,DATA_NORMALIZATION,Field 'category' had value 'HOME',Standardized
products | product_id: 159,MISSING_VALUE_IMPUTED,Field 'unit_cost_aed' had value 'nan',Imputed with 216.38
products | product_id: 270,MISSING_VALUE_IMPUTED,Field 'unit_cost_aed' had value 'nan',Imputed with 230.58
products | product_id: 273,MISSING_VALUE_IMPUTED,Field 'unit_cost_aed' had value 'nan',Imputed with 328.57
products | product_id: 292,MISSING_VALUE_IMPUTED,Field 'unit_cost_aed' had value 'nan',Imputed with 263.4
sales | order_id: 93,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 207,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 241,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 265,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 280,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 286,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 323,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 379,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 445,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 513,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 515,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 520,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 565,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 616,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 702,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 748,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 910,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 958,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 984,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 1044,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 1066,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 1069,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 1138,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 1188,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 1197,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 1214,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 1222,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 1260,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 1475,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 1508,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 1716,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 1744,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 1791,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 1878,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 1928,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 1959,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 2267,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 2359,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 2389,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 2477,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 2521,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 2562,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 2598,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 2637,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 2676,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 2748,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 2831,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 2866,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 2899,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 2976,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 3108,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 3177,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 3282,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 3297,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 3354,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 3421,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 3489,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 3708,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 3906,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
sales | order_id: 3944,INVALID_FORMAT,Field 'order_time' had value 'not_a_time',Dropped Record
